COMM,CODE,SPEC,COMM_FR,STACAC_CODE
MAERA SP.,2808,MAERA SP.,,
PARATHEMISTO SP.,2809,PARATHEMISTO SP.,HypÇride,
HYPERIA SP.,2810,HYPERIA SP.,HypÇride,
GAMMARIDAE F.,2811,GAMMARIDAE F.,,
MELITA DENTATA,2812,MELITA DENTATA,Gammaride,
CASCO BIGELOWI,2813,CASCO BIGELOWI,,
MELITA SP.,2814,MELITA SP.,Gammarides,
STENOTHOE BREVICORNIS,2815,STENOTHOE BREVICORNIS,,
HAPLOOPS SP.,2816,HAPLOOPS SP.,,
DULICHIA SPINOSISSIMA,2817,DULICHIA SPINOSISSIMA,,
DULICHIA MONACANTHA,2818,DULICHIA MONACANTHA,,
WHITE;G. AMPHI,2819,GAMMARIDEA S.O.,Gammarides,
GAMMARUS SP.,2820,GAMMARUS SP.,,
CERADOCUS TORELLI,2821,CERADOCUS TORELLI,Gammaride,
PURPLE AMPHI,2822,LEPTOCHEIRUS PINGUIS,,
RED AMPHI,2823,UNCIOLA SP.,,
MAERA LOVENI,2825,MAERA LOVENI,Gammaride,
PLEUSTES MEDIUS,2826,PLEUSTES MEDIUS,,
DULICHIA SP.,2827,DULICHIA SP.,,
TIRON SP.,2828,TIRON SP.,,
HIPPOMEDON SERRATUS,2829,HIPPOMEDON SERRATUS,,
LYSIANASSIDAE F.,2830,LYSIANASSIDAE F.,Gammarides,
ORCHOMONELLA SP.,2831,ORCHOMONELLA SP.,Gammarides,
TMETONYX SP.,2832,TMETONYX SP.,Gammarides,
ANONYX SP.,2833,ANONYX SP.,Gammarides,
ORCHOMONELLA PINGUIS,2834,ORCHOMONELLA PINGUIS,Gammaride,
HIPPOMEDON DENTERULATUS,2835,HIPPOMEDON DENTERULATUS,,
HIPPOMEDON PROPINQUUS,2836,HIPPOMEDON PROPINQUUS,Gammaride,
TMETONYX CICADA,2837,TMETONYX CICADA,Gammaride,
HIPPOMEDON SP.,2838,HIPPOMEDON SP.,Gammarides,
UNCIOLA INERMIS,2839,UNCIOLA INERMIS,,
COROPHIIDAE F.,2840,COROPHIIDAE F.,,
AORIDAE F.,2841,AORIDAE F.,Gammarides,
PAROEDICEROS SP.,2842,PAROEDICEROS SP.,Gammarides,
LILLJEBORGIA SP.,2843,LILLJEBORGIA SP.,,
ANONYX SARSI,2844,ANONYX SARSI,Gammaride,
PHOXOCEPHALIDAE F.,2845,PHOXOCEPHALIDAE F.,Gammarides,
RHACHOTROPIS SP.,2846,RHACHOTROPIS SP.,Gammarides,
RHACHOTROPIS INFLATA,2847,RHACHOTROPIS INFLATA,Gammaride,
RHACHOTROPIS ACULEATA,2848,RHACHOTROPIS ACULEATA,Gammaride,
HARPINIA PROPINQUA,2849,HARPINIA PROPINQUA,,
TIRONIDAE F.,2850,TIRONIDAE F.,Gammarides,
SYRRHOE SP.,2851,SYRRHOE SP.,,
HARPINIA SP.,2852,HARPINIA SP.,,
PHOXOCEPHALUS HOLBOLLI,2853,PHOXOCEPHALUS HOLBOLLI,Gammaride,
PHOXOCEPHALUS SP.,2854,PHOXOCEPHALUS SP.,,
AMPELISCIDAE F.,2855,AMPELISCIDAE F.,Gammarides,
HAPLOOPS LAEVIS,2856,HAPLOOPS LAEVIS,,
FOUR-EYED AMPHIPOD,2857,AMPELISCA AGASSIZI,,
AMPELISCA SP.,2858,AMPELISCA SP.,Gammarides,
GAMMAROPSIS MACULATUS,2859,GAMMAROPSIS MACULATUS,,
AMPHITHOIDAE F.,2860,AMPHITHOIDAE F.,,
ROZINANTE FRAGILIS,2861,ROZINANTE FRAGILIS,Gammaride,
HARPINIA CRENULATA,2862,HARPINIA CRENULATA,,
BYBLIS SERRATA,2863,BYBLIS SERRATA,,
AMPHIPOD,2864,AMPELISCA MACROCEPHALA,,
PONTOGENEIIDAE F.,2865,PONTOGENEIIDAE F.,,
NEOPLEUSTES PULCHELLUS,2866,NEOPLEUSTES PULCHELLUS,,
PLEUSTES PANOPLA,2867,PLEUSTES PANOPLA,Gammaride,
ANONYX LILLJEBORGI,2868,ANONYX LILLJEBORGI,,
ORCHOMONELLA MINUTA,2869,ORCHOMONELLA MINUTA,,
CAPRELLIDAE F.,2870,CAPRELLIDAE F.,,
CAPRELLA LINEARIS,2871,CAPRELLA LINEARIS,,
CAPRELLA SEPTENTRIONALIS,2872,CAPRELLA SEPTENTRIONALIS,,
AEGININA  LONGICORNIS,2873,AEGININA LONGICORNIS,Caprellide,
CAPRELLA SP.,2874,CAPRELLA SP.,,
HELIRAGES FULVOCINCTUS,2875,HELIRAGES FULVOCINCTUS,Gammaride,
HALIRAGOIDES INERMIS,2876,HALIRAGOIDES INERMIS,Gammaride,
SYRRHOE CRENULATA,2877,SYRRHOE CRENULATA,,
ISCHYROCEROS ANGUIPES,2878,ISCHYROCEROS ANGUIPES,,
MONOCULODES BOREALIS,2879,MONOCULODES BOREALIS,,
OEDICEROTIDAE F.,2880,OEDICEROTIDAE F.,Gammarides,
MONOCULODES SP.,2881,MONOCULODES SP.,Gammarides,
PAROEDICEROS LYNCEUS,2882,PAROEDICEROS LYNCEUS,Gammaride,
PAROEDICEROS PROPINGUIS,2883,PAROEDICEROS PROPINGUIS,Gammaride,
PAROEDICEROS LONGIMANUS,2884,PAROEDICEROS LONGIMANUS,,
MONOCULODES EDWARDSI,2885,MONOCULODES EDWARDSI,,
MONOCULODES ELATIMANUS,2886,MONOCULODES LATIMANUS,,
RACHOTROPIS OCULATA,2887,RACHOTROPIS OCULATA,,
ISCHYROCEROS SP.,2890,ISCHYROCEROS SP.,,
NYMPHON LONGITARSE,2891,NYMPH0N LONGITARSE,,
NYMPHON MACRUM,2892,NYMPHON MACRUM,,
NYMPHON SP.,2893,NYMPHON SP.,,
HAUSTORIIDAE,2894,HAUSTORIIDAE,Gammarides,
PRISCILLINA ARMATA,2895,PRISCILLINA ARMATA,Gammaride,
ANURIDA MARITIMA,2896,ANURIDA MARITIMA,,
ISCHYROCERIDAE F.,2897,ISCHYROCERIDAE F.,Gammarides,
DYOPEDOS PORRECTUS,2898,DYOPEDOS PORRECTUS,,
CLAUSOCALANUS SP.,2899,CLAUSOCALANUS SP.,,
COPEPODA S.C.,2900,COPEPODA S.C.,CopÇpodes,
COPEPODS MORE THAN 3 MM,2901,COPEPODA S.C.;LARGE,,
COPEPODS 3 MM OR LESS,2902,COPEPODA S.C.;SMALL,,
BIG-EYED AMPHIPOD,2903,HYPERIA GALBA,HypÇride,
PARATHEMISTO COMPRESSA,2904,PARATHEMISTO COMPRESSA,,
HYPERIIDEA S.O.,2905,HYPERIIDEA S.O.,HypÇrides,
HYPERIIDAE F.,2906,HYPERIIDAE F.,HypÇrides,
PARATHEMISTO OBLIVIA,2907,PARATHEMISTO OBLIVIA,,
COPEPOD,2908,MONSTRILLA SP.,,
PARACALANUS;CLAUSOCALANUS;CALOCALANUS,2909,PARACALANUS;CLAUSOCALANUS;CALOCALANUS SP.,,
CALANUS SP.,2910,CALANUS SP.,CopÇpodes,
CALANUS FINMARCHICUS,2911,CALANUS FINMARCHICUS,CopÇpode,
CALANUS HYPERBOREUS,2912,CALANUS HYPERBOREUS,CopÇpode,
CANDACIA SP.,2913,CANDACIA SP.,,
CENTROPAGES SP.,2914,CENTROPAGES SP.,,
CANDACIA ARMATA,2915,CANDACIA ARMATA,,
CENTROPAGES BRADYI,2916,CENTROPAGES BRADYI,,
PSEUDOCALANUS SP.,2917,PSEUDOCALANUS SP.,,
PSEUDOCALANUS ELONGATUS,2918,PSEUDOCALANUS ELONGATUS,,
TEMPORA SP.,2919,TEMORA SP.,,
OITHONA SP.,2920,OITHONA SP.,,
EUCHAETA NORVEGICA,2921,EUCHAETA NORVEGICA,CopÇpode,
EUCHIRELLA SP.,2922,EUCHIRELLA SP.,,
ACARTIA LONGIREMIS,2923,ACARTIA LONGIREMIS,CopÇpode,
METRIDIA LUCENS,2924,METRIDIA LUCENS,CopÇpode,
METRIDIA LONGA,2925,METRIDIA LONGA,CopÇpode,
PLEUROMAMMA SP.,2926,PLEUROMAMMA SP.,,
SPHYRION LUMPI,2927,SPHYRION LUMPI,,
OITHONA SIMILIS,2928,OITHONA SIMILIS,,
LERNAEOCERA BRANCHIALIS,2929,LERNAEOCERA BRANCHIALIS,,
OITHONA SPINIROSTRIS,2930,OITHONA SPINIROSTRIS,,
CLAVELLA SP.,2931,CLAVELLA SP.,,
PARACALANUS SP.,2932,PARACALANUS SP.,,
METRIDIA SP.,2933,METRIDIA SP.,CopÇpodes,
PARACALANUS PARVUS,2934,PARACALANUS PARVUS,,
CENTROPAGES TYPICUS,2935,CENTROPAGES TYPICUS,CopÇpode,
TEMORA LONGICORNIS,2936,TEMORA LONGICORNIS,CopÇpode,
MICROCALANUS PUSILLUS,2937,MICROCALANUS PUSILLUS,CopÇpode,
COPEPODA;NAUPLII,2938,COPEPODA;NAUPLII,,
CALANOIDA O.,2939,CALANOIDA O.,CopÇpodes calanoides,
TANAIDAE F.,2940,TANAIDAE F.,,
PARATHEMISTO GAUDICHAUDI,2941,PARATHEMISTO GAUDICHAUDI,HypÇride,
AETIDEUS ARMATUS,2942,AETIDEUS ARMATUS,,
CALIGUS SP.,2943,CALIGUS SP.,,
CYCLOPOIDA O.,2945,CYCLOPOIDA O.,,
PHRONIMA SP.,2946,PHRONIMA SP.,,
JANIRA ALTA,2950,JANIRA ALTA,Isopode,
NEBALIA SHRIMP,2960,NEBALIA BIPES,,
NEBALIA SP.,2961,NEBALIA SP.,,
EUDORELLOPSIS BIPLICATA,2962,EUDORELLOPSIS BIPLICATA,,
EUDORELLOPSIS INTEGRA,2963,EUDORELLOPSIS INTEGRA,,
EUDORELLA SP.,2965,EUDORELLA SP.,,
EUDORELLA TRUNCATULA,2966,EUDORELLA TRUNCATULA,,
SEA PILL BUG,2967,SPHAEROMA QUADRIDENTATUM,,
CIROLANA SP.,2968,CIROLANA SP.,,
LEUCONIDAE F.,2969,LEUCONIDAE F.,,
CUMACEA O.,2970,CUMACEA O.,CumacÇs,
DIASTYLIS SP.,2971,DIASTYLIS SP.,CumacÇs,
DIASTYLIS RATHKEI,2972,DIASTYLIS RATHKEI,,
DIASTYLIS POLITA,2973,DIASTYLIS POLITA,,
LEPTOCUMA MINOR,2974,LEPTOCUMA MINOR,,
LEUCON NASICOIDES,2975,LEUCON NASICOIDES,,
EUDORELLA EMARGINATA,2976,EUDORELLA EMARGINATA,CumacÇs,
CAMPYLASPIS SP.,2977,CAMPYLASPIS SP.,,
DIASTYLIS QUADRISPINOSA,2978,DIASTYLIS QUADRISPINOSA,,
EUDORELLA PUSILLA,2979,EUDORELLA PUSILLA,,
RED ISOPOD,2980,ISOPODA O.,Isopodes,
AEGA PSORA,2981,AEGA PSORA,Isopode,
IDOTEA BALTICA,2982,IDOTEA BALTICA,Isopode,
IDOTEA PHOSPHOREA,2983,IDOTEA PHOSPHOREA,Isopode,
CHIRIDOTEA TUFTSI,2984,CHIRIDOTEA TUFTSI,,
SYNIDOTEA NODULOSA,2985,SYNIDOTEA NODULOSA,,
MUNNOPSIS TYPICA,2986,MUNNOPSIS TYPICA,,
PHRYXUS ABDOMINALIS,2987,PHRYXUS ABDOMINALIS,,
BOPYROIDES HIPPOLYTES,2988,BOPYROIDES HIPPOLYTES,,
BROWN ISOPOD,2989,EDOTEA TRILOBA,,
BARNACLES,2990,CIRRIPEDIA S.C.,Balane non spÇcifiÇ,
CIROLANIDAE F.,2991,CIROLANIDAE F.,,
IDOTEIDAE F.,2992,IDOTEIDAE F.,Isopodes,
GNATHIA CERINA,2993,GNATHIA CERINA,,
LITTLE SHORE ISOPOD,2994,JAERA MARINA,,
BALANIDAE F.,2995,BALANIDAE F.,,
IDOTEA SP.,2996,IDOTEA SP.,Isopodes,
CHIRIDOTEA SP.,2997,CHIRIDOTEA SP.,,
CIROLANA POLITA,2998,CIROLANA POLITA,,
ISOPOD,2999,CALATHURA BRANCHIATA,Isopode,
SEGMENTED WORMS,3000,ANNELIDA P.,AnnÇlides,
AEGIDAE F.,3030,AEGIDAE F.,Isopodes,
ANTHURIDEA S.O.,3050,ANTHURIDEA S.O.,,
ANTHURIDAE F.,3051,ANTHURIDAE F.,,
EUNICIDAE F.,3085,EUNICIDAE F.,,
PADDLE WORM,3086,ETEONE LONGA,,
PADDLE WORM,3087,ETEONE FLAVA,,
PHYLLODOCE MACULATA,3088,PHYLLODOCE MACULATA,,
PHYLLODOCE MUCOSA,3089,PHYLLODOCE MUCOSA,,
DORVILLEIDAE F.,3090,DORVILLEIDAE F.,,
HYALINOECIA CF TUBICOLA,3099,HYALINOECIA CF TUBICOLA,,
BRISTLE WORMS,3100,POLYCHAETA C.,Polychäte  non spÇcifiÇ,
LARGE POLYCHAETE; 3MM DIA,3101,POLYCHAETA C.;LARGE,,
SMALL POLYCHAETE )3MM DIA,3102,POLYCHAETA C.;SMALL,,
LUMBRINERIS SP.,3103,LUMBRINERIS SP.,,
NEPHTYS SP.,3104,NEPHTYS SP.,Polychätes errantes,
STERNASPIS SP.,3105,STERNASPIS SP.,,
POLYCHAETA LARVAE,3106,POLYCHAETA LARVAE,,
ARABELLIDAE F.,3107,ARABELLIDAE F.,Polychätes errantes,
ARABELLID THREAD WORM,3108,DRILONEREIS MAGNA,Polychäte errante,
EUNICE PENNATA,3109,EUNICE PENNATA,,
PHYLLODOCE SP.,3110,PHYLLODOCE SP.,Polychätes errantes,
PHYLLODOCE GROENLANDICA,3111,PHYLLODOCE GROENLANDICA,Polychäte errante,
PADDLE WORMS,3112,ETEONE SP.,,
PADDLE WORM,3113,ETEONE TRILINEATA,,
PHYLLODOCIDAE F.,3114,PHYLLODOCIDAE F.,Polychätes errantes,
NEPHTYIDFAE F.,3115,NEPHTYIDAE F.,Polychätes errantes,
OPAL WORM,3116,ARABELLA IRICOLOR,,
LUMBRINEREIDAE F.,3117,LUMBRINEREIDAE F.,,
LUMBRINERIS TENUIS,3118,LUMBRINERIS TENUIS,,
NINOE NIGRIPES,3119,NINOE NIGRIPES,,
GONIADA MACULATA,3120,GONIADA MACULATA,Polychäte errante,
CHEVRON WORMS,3121,GONIADA SP.,,
LUMBRINERIS FRAGILIS,3122,LUMBRINERIS FRAGILIS,,
LUMBRINERIS LATREILLI,3123,LUMBRINERIS LATREILLI,,
GONIADIDAE F.,3124,GONIADIDAE F.,Polychätes errantes,
NICOMACHE CANADENSIS,3125,NICOMACHE CANADENSIS,,
SYLLIDAE F.,3126,SYLLIDAE F.,,
GONIADA NORVEGICA,3127,GONIADA NORVEGICA,,
EXOGONE VERUGERA,3128,EXOGONE VERUGERA,,
MELINNIA ELIZABETHAE,3129,MELINNIA ELIZABETHAE,,
NEREIS SP.,3130,NEREIS SP.,,
NEREIS PELAGICA,3131,NEREIS PELAGICA,Nereis pelagica (polychaete),
NEREIS GRAYI,3132,NEREIS GRAYI,,
CAPITELLIDAE F.,3133,CAPITELLIDAE F.,Polychätes sÇdentaires,
TOMOPTERIDAE F.,3134,TOMOPTERIDAE F.,,
NEREIS ZONATA,3135,NEREIS ZONATA,,
POTAMILLA RENIFORMIS,3136,POTAMILLA RENIFORMIS,,
AMPHARETID WORM,3137,MELINNA CRISTATA,,
SABELLIDAE F.,3138,SABELLIDAE F.,,
PECTINARIIDAE F.,3139,PECTINARIIDAE F.,Polychätes sÇdentaires,
SABELLA SP.,3140,SABELLA SP.,,
RHODINE SP.,3141,RHODINE SP.,,
TRUMPET WORM,3142,PECTINARIA GOULDII,,
FILAMENT TUBE WORM,3143,MALDANIDAE F.,Polychätes sÇdentaires,
PECTINARIA SP.,3144,PECTINARIA SP.,Polychätes sÇdentaires,
PRAXILLELLA SP.,3145,PRAXILLELLA SP.,,
AMPHARETIDAE F.,3146,AMPHARETIDAE F.,,
FAN WORM,3147,POTAMILLA NEGLECTA,,
TEREBELLID WORM,3148,AMPHITRITE SP.,,
PECTINARIA GRANULATA,3149,PECTINARIA GRANULATA,Polychäte sÇdentaire,
NEREIDAE F.,3150,NEREIDAE F.,Polychätes errantes,
TEREBELLIDES STROEMI,3151,TEREBELLIDES STROEMI,,
SCALIBREGMA INFLATUM,3152,SCALIBREGMA INFLATUM,Scalibregma inflatum (Polychäte),
OPHELIIDAE F.,3153,OPHELIIDAE,Polychätes sÇdentaires,
SAMYTHA SEXCIRRATA,3154,SAMYTHA SEXCIRRATA,,
ANOBOTHRUS GRACILIS,3155,ANOBOTHRUS GRACILIS,,
OPHELIA LIMANCIA,3156,OPHELIA LIMACINA,,
OPHELIA ACUMINUTA,3157,OPHELIA ACUMINUTA,,
APISTOBRANCHIDAE F.,3158,APISTOBRANCHIDAE F.,,
OPHELIA SP.,3159,OPHELIA SP.,,
TEREBELLIDAE F.,3160,TEREBELLIDAE F.,Polychätes sÇdentaires,
LUGWORM,3161,ARENICOLA MARINA,,
ARICIDEA SP.,3162,ARICIDEA SP.,,
LEIOCHONE SP.,3163,LEIOCHONE SP.,,
SPIONIDA F.,3164,SPIONIDA F.,,
STERNASPIS SCUTATA,3165,STERNASPIS SCUTATA,,
NOTHRIA CONCHYLEGA,3166,NOTHRIA CONCHYLEGA,,
ORBINIID WORMS,3167,SCOLOPLOS SP.,Polychätes sÇdentaires,
CHONE DUNERI,3168,CHONE DUNERI,,
PARAONIS LYRA,3169,PARAONIS LYRA,,
FLABELLIGERIDA F.,3170,FLABELLIGERIDA F.,,
FLABELLIGERID WORM,3171,PHERUSA PHERUSA,,
FLABELLIGERID WORMS,3172,BRADA SP.,,
FLABELLIGERID WORMS,3173,PHERUSA SP.,,
FLABELLIGERID WORM,3174,DIPLOCIRRUS HIRSUTUS,,
AQUATIC EARTHWORMS,3175,OLIGOCHAETA C.,Oligochätes,
AMPHARETE SP.,3176,AMPHARETE SP.,,
AMPHARETE FINMARCHICA,3177,AMPHARETE FINMARCHICA,,
FLABELLIGERID WORM,3178,PHERUSA AFFINIS,,
TRAVISIA CARNEA,3179,TRAVISIA CARNEA,,
THRACIIDAE F.,3180,THRACIIDAE F.,,
AGLAOPHAMUS CIRCINATA,3181,AGLAOPHAMUS CIRCINATA,,
NEPHTYS BUCERA,3182,NEPHTYS BUCERA,,
NEPHTYS INCISA,3183,NEPHTYS INCISA,,
NEPHTYS CAECA,3184,NEPHTYS CAECA,,
LEPTONIDAE F.,3185,LEPTONIDAE F.,,
FLABELLIGERID WORMS,3186,BRADA VILLOSA,,
EXOGONE SP.,3187,EXOGONE SP.,,
OPAL WORM,3188,ARABELLA SP.,,
TEREBELLIDA,3189,TEREBELLIDA,,
LUCINIDAE F.,3190,LUCINIDAE F.,,
THELEPUS CINCINNATUS,3191,THELEPUS CINCINNATUS,,
TEREBELLID WORM,3192,AMPHITRITE AFFINIS,,
TEREBELLID WORM,3193,AMPHITRITE CIRRATA,,
OWENIIDAE F.,3194,OWENIIDAE F.,,
HESIONIDAE F.,3195,HESIONIDAE F.,,
OWENIA FUSIFORMIS,3196,OWENIA FUSIFORMIS,,
STREBLOSOMA SPIRALIS,3197,STREBLOSOMA SPIRALIS,,
WORM CAST,3199,POLYCHAETE REMAINS,,
SEA MOUSE,3200,APHRODITA HASTATA,Polychäte errante,
ZOANTHARIA,3205,ZOANTHARIA,,
APHRODITIDAE F.,3210,APHRODITIDAE F.,Polychätes errantes,
APHRODITA ACULEATA,3211,APHRODITA ACULEATA (OBSOLETE),,
APHRODITA SP.,3212,APHRODITA SP.,Souris de mer non spÇcifiÇe,
CHONE SP.,3221,CHONE SP.,,
EUCHONE SP.,3222,EUCHONE SP.,,
GLYCERIDAE F.,3230,GLYCERIDAE F.,Polychätes errantes,
CARIDEA SO.,3240,CARIDEA SO.,Crevettes (CaridÇs),
ORBINIIDAE F.,3270,ORBINIIDAE F.,Polychätes sÇdentaires,
CIRRATULIDAE F.,3280,CIRRATULIDAE F.,,
GEPHYREA (SIPUNCULA),3300,GEPHYREA (SIPUNCULA) P.,Sipunculides,
ECHIURUS ECHIURUS,3311,ECHIURUS ECHIURUS,,
THEMISTE SP.,3312,THEMISTE SP.,,
GOULD'S SIPUNCULID,3313,PHASCOLOSOMA GOULDII,Sipunculide,
PHASCOLION STROMBI,3314,PHASCOLION STROMBI,Sipunculide,
PHASCOLOSOMA SP.,3320,PHASCOLOSOMA SP.,,
ECHIURIDA P.,3330,ECHIURIDA P.,êchiures,
ECHIURIDAE F.,3340,ECHIURIDAE F.,,
ACANTHOCEPHALA P.,3400,ACANTHOCEPHALA P.,,
PRIAPULIDA C.,3450,PRIAPULIDA C.,Priapulides,
PRIAPULUS,3451,PRIAPULUS CAUDATUS,Priapulide,
ONUPHIDAE F.,3460,ONUPHIDAE F.,,
POLYNOIDAE F.,3500,POLYNOIDAE F.,Polychätes errantes,
LEPIDONOTUS SQUAMATUS,3501,LEPIDONOTUS SQUAMATUS,,
GATTYANA SP.,3502,GATTYANA SP.,,
HARMOTHOE SP.,3503,HARMOTHOE SP.,,
HARMOTHOE IMBRICATA,3504,HARMOTHOE IMBRICATA,,
HARMOTHOE EXTENUATA,3505,HARMOTHOE EXTENUATA,,
BLOOD WORMS,3550,GLYCERA SP.,Polychätes errantes,
BLOOD WORM,3551,GLYCERA CAPITATA,Polychätes errantes,
SEA SNAILS;SEA BUTTERFLIES; PTEROPODA,3600,HETEROPODA,,
SIPUNCULUS SP.,3700,SIPUNCULUS SP.,,
GOLFINGIA SP.,3701,GOLFINGIA SP.,,
SAND TUBE,3999,SAND TUBE,,
MOLLUSCA P.,4000,MOLLUSCA P.,Mollusques,
MOLLUSCA LARVAE,4005,MOLLUSCA LARVAE,,
TUSK OR TOOTHSHELLS,4110,SCAPHOPODA C.,Scaphopodes,
SNAILS AND SLUGS,4200,GASTROPODA O.,Gastropode non spÇcifiÇ,
AMPHISSA HALIAEETI,4201,AMPHISSA HALIAEETI,,
KEYHOLE LIMPET,4202,PUNCTURELLA NOACHINA,,
BUCCINIDAE F.,4209,BUCCINIDAE F.,Buccins,
WHELKS,4210,BUCCINUM SP.,Buccin non spÇcifiÇ,
WAVE WHELK;COMMON EDIBLE,4211,BUCCINUM UNDATUM,Buccin commun,
SILKY BUCCINUM,4212,BUCCINUM SCALARIFORME,Buccin,
CANCELLATE LORA,4216,PROPEBELA CANCELLATA,,
MOON SNAIL UNSP,4220,NATICIDAE F.,,
NORTHERN MOONSNAIL,4221,EUSPIRA HEROS,Lunatie (natice de l'Atlantique;natice hÇros),
LITTLE MOONSHELL,4222,NATICA CLAUSA,,
MARGARITES CINERA,4223,MARGARITES CINERA (OBSOLETE),,
MARGARITES COSTALIS,4224,MARGARITES COSTALIS,,
MARGARITES GROENLANDICA,4225,MARGARITES GROENLANDICA,,
NEW ENGLAND NEPTUNE,4227,NEPTUNEA DECEMCOSTATA,Neptunea decemcostata,
SPINDLE SHELL,4228,COLUS SP.,Buccin/colus,
TURRITELLOPSIS SP.,4229,TURRITELLOPSIS SP.,,
DUCK OR PELICAN FOOT,4230,APORRHAIS SP.,Aporrais non spÇcifiÇ,
NUCELLA LAPILLUS,4231,NUCELLA LAPILLUS,,
MUD SNAIL,4232,ILYANASSA OBSOLETA,,
DOG WHELK,4233,NASSA BIVITTATA,,
DOG WHELKS,4235,NASSARIIDAE OR THAISIDAE F.,,
EPITONIUM,4240,EPITONIUM SP.,,
PERIWINKLES,4250,LITTORINIDAE F.,Pervanche non spÇcifiÇe,
SKENES,4251,SKENEOPSIS SP.,,
VELVET SHELL,4252,VELUTINA LAEVIGATA,,
KEYHOLE LIMPID,4253,FISSURELLIDAE F.,,
MARGARITES HELICINA,4254,MARGARITES HELICINA,,
TOP SHELLS,4255,TROCHIDAE F.,,
PHILINE SINUATA,4256,PHILINE SINUATA,,
CYLICHNA ALBA,4257,CYLICHNA ALBA,,
SPOTTED NORTHERN MOONTAIL,4258,LUNATIA TRISERIATA,,
CALLIOSTOMA OCCIDENTALE,4259,CALLIOSTOMA OCCIDENTALE,,
AMAUROPSIS ISLANDICA,4260,AMAUROPSIS ISLANDICA,,
BIVALVIA C.,4300,BIVALVIA C.,Bivalve non spÇcifiÇe (Classe),
RAZOR SHELL CLAM,4301,ENSIS DIRECTUS,,
THYASIRA SP.,4302,THYASIRA SP.,,
TELLINA SP.,4303,TELLINA SP.,,
OCEAN QUAHAUG,4304,ARCTICA ISLANDICA,Quahog nordique,
PANDORA GOULDIANA,4305,PANDORA GOULDIANA,,
GLACIER DIPPER SHELL,4306,CUSPIDARIA GLACIALIS,,
ASTARTE UNDATA,4307,ASTARTE UNDATA,Astarte ondulÇe,
NUCULA SP.,4308,NUCULA SP.,,
MYA TRUNCATA,4309,MYA TRUNCATA,Mye tronquÇe,
CLAMS (NS),4310,PROTOBRANCHIA; HETERODONTA,Bivalves palourde non spÇcifiÇ,
QUAHAUG,4311,VENUS MERCENARIA (OBSOLETE),,
BANK CLAM,4312,CYRTODARIA SILIQUA,Mye / couteau de Banks (pitot),
MACOMA SP.,4313,MACOMA SP.,,
MORRHUA VENUSNA,4314,PITAR MORRHUANA,,
RAZOR CLAM,4315,SILIQUA SP.,,
ASTARTE SP.,4316,ASTARTE SP.,Astartes,
BAR;SURF CLAM,4317,SPISULA SOLIDISSIMA,,
SOFT SHELL CLAM,4318,MYA ARENARIA,Mye commune,
SOFT SHELL OR LONG NECK CLAM,4319,HIATELLA ARCTICA,Saxicave arctique,
SCALLOPS,4320,PECTINIDAE F.,PÇtoncles,
SEA SCALLOP,4321,PLACOPECTEN MAGELLANICUS,PÇtoncle gÇant,
ICELAND SCALLOP,4322,CHLAMYS ISLANDICA,PÇtoncle d'Islande,
HARD CLAM,4323,MERCENARIA MERCENARIA,,
BAY SCALLOP,4324,ARGOPECTEN IRRADIANS,PÇtoncle atlantique,
CALICO SCALLOP,4325,ARGOPECTEN GIBBUS,,
AMERICAN CUPPED OYSTER,4326,CRASSOSTREA VIRGINICA,Huitre malpäque,
CYRTODARIA SP.,4327,CYRTODARIA SP.,Myes / couteaux,
ANOMIIDAE F.,4328,ANOMIIDAE F.,,
VENERIDAE F.,4329,VENERIDAE F.,,
MUSSELS (NS),4330,MYTILIDAE F.,Moule non spÇcifiÇ,
COMMON MUSSELS,4331,MYTILUS EDULIS,Moule bleue,
HORSE MUSSELS,4332,MODIOLUS MODIOLUS,Moule gÇante,
THYASIRIDAE F.,4333,THYASIRIDAE F.,,
MUSCULUS NIGER,4334,MUSCULUS NIGER,,
CONCHS,4335,STROMBUS AND BUSYCON SP.,,
AEQUIPECTEN GLYPTUS,4336,AEQUIPECTEN GLYPTUS,,
BATHYARCA PECTUNCULOIDES,4337,BATHYARCA PECTUNCULOIDES,,
ASTARTE CASTANEA,4338,ASTARTE CASTANEA,,
BATHYARCA SP.,4339,BATHYARCA SP.,,
COCKLES,4340,CARDIIDAE F.,Bucarde (coque) non spÇcifiÇ,
CARDIUM SP.,4341,CARDIUM SP.,,
ICELAND COCKLE,4342,CLINOCARDIUM CILIATUM,Coque d'Islande,
GREENLAND COCKLE,4343,SERRIPES GROENLANDICUS,,
HEART SHELL,4344,VENERICARDIA BOREALIS,,
NORTHERN DWARF COCKLE,4345,CERASTODERMA PINNULATUM,,
SOLEMYA BOREALIS,4346,SOLEMYA BOREALIS,,
LIMATULA SP.,4347,LIMATULA SP.,,
MOLLUSCA SHELLS EMPTY,4348,MOLLUSCA (EMPTY),,
SCALLOP SHELLS,4349,PECTINIDAE SHELLS,,
NUT SHELLS,4350,NUCULIDAE F.,,
NUCULANA SP.,4351,NUCULANA SP.,,
THIN NUT CLAM,4352,NUCULANA TENUISULCATA,Bivalve,
NUCULANA BUCCATA,4353,NUCULANA BUCCATA,,
YOLDIA SP.,4354,YOLDIA SP.,,
STIMPSON'S SURF CLAM; ARCTIC SURF CLAM,4355,MACTROMERIS POLYNYMA,,
